Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,easting.data,northing.data,zone_number.data,zone_letter.data
1644095438.2786527,4,1644095438,270986080,GPS_Data,42.33741166666667,-71.09286166666668,66.2,327589.20304717653,4689360.995645014,19,T
1644095439.276905,5,1644095439,269674539,GPS_Data,42.33741499999999,-71.09286333333333,65.9,327589.07485065656,4689361.369165762,19,T
1644095440.2810571,6,1644095440,273626804,GPS_Data,42.33741499999999,-71.09286166666668,66.0,327589.21215709485,4689361.3657863755,19,T
1644095441.276847,7,1644095441,269653558,GPS_Data,42.33741833333333,-71.09286666666667,65.0,327588.80934772076,4689361.746065908,19,T
1644095442.2944944,8,1644095442,287255048,GPS_Data,42.33741833333333,-71.09286,65.1,327589.35857344687,4689361.732548353,19,T
1644095443.2789354,9,1644095443,271885156,GPS_Data,42.33741499999999,-71.09285166666668,65.8,327590.03599573043,4689361.345510108,19,T
1644095444.2774644,10,1644095444,270369052,GPS_Data,42.33741,-71.09283833333333,65.8,327591.1207825189,4689360.763263197,19,T
1644095445.2974863,11,1644095445,290041446,GPS_Data,42.337403333333334,-71.09283,66.0,327591.78909520723,4689360.006083768,19,T
1644095446.2747626,12,1644095446,269417047,GPS_Data,42.33739833333334,-71.09281833333333,66.2,327592.736575866,4689359.4272164535,19,T
1644095447.295692,13,1644095447,288584232,GPS_Data,42.337395,-71.09280666666668,66.7,327593.6886115157,4689359.03341995,19,T
1644095448.2770903,14,1644095448,270093202,GPS_Data,42.33739166666666,-71.09279666666666,67.1,327594.5033407783,4689358.6430028565,19,T
1644095449.2976594,15,1644095449,290419101,GPS_Data,42.337390000000006,-71.09278333333333,67.0,327595.59723790607,4689358.430898021,19,T
1644095450.2784019,16,1644095450,271010398,GPS_Data,42.33738666666667,-71.09276833333334,67.3,327596.82388683315,4689358.030343441,19,T
1644095451.2984612,17,1644095451,290949583,GPS_Data,42.33737833333333,-71.09275,66.9,327598.3114847682,4689357.067818628,19,T
1644095452.2989955,18,1644095452,290554285,GPS_Data,42.33737666666666,-71.09273333333334,67.7,327599.67999527155,4689356.848956035,19,T
1644095453.278851,19,1644095453,271667957,GPS_Data,42.337375,-71.092715,68.4,327601.1858123727,4689356.626714561,19,T
1644095454.2766151,20,1644095454,269679784,GPS_Data,42.33736999999999,-71.09269666666667,67.9,327602.682520358,4689356.034332058,19,T
1644095455.2768312,21,1644095455,269562959,GPS_Data,42.337358333333334,-71.092675,66.9,327604.43562348635,4689354.694909003,19,T
1644095456.2752583,22,1644095456,268055438,GPS_Data,42.33734833333333,-71.09265666666667,66.2,327605.91866861004,4689353.547315185,19,T
1644095457.297416,23,1644095457,290275335,GPS_Data,42.33734,-71.09263666666668,65.2,327607.5435752888,4689352.581413353,19,T
1644095458.2976859,24,1644095458,290236473,GPS_Data,42.33733,-71.09261666666666,64.3,327609.1639279848,4689351.430441235,19,T
1644095459.2984946,25,1644095459,291188001,GPS_Data,42.33733,-71.09260166666667,64.5,327610.3996875853,4689351.400030443,19,T
1644095460.2777987,26,1644095460,270333528,GPS_Data,42.33733166666666,-71.09258833333334,65.3,327611.50269491586,4689351.558069487,19,T
1644095461.294789,27,1644095461,289537906,GPS_Data,42.33733666666667,-71.09257666666667,66.1,327612.47750423854,4689352.089628978,19,T
1644095462.2969773,28,1644095462,289640426,GPS_Data,42.33734333333334,-71.09256666666667,66.8,327613.319561122,4689352.809638183,19,T
1644095463.2968547,29,1644095463,289570093,GPS_Data,42.33735,-71.09255666666667,67.0,327614.16161783715,4689353.529647484,19,T
1644095464.2951643,30,1644095464,287913799,GPS_Data,42.33735333333334,-71.09254833333333,66.1,327614.85725926806,4689353.882894409,19,T
1644095465.2777793,31,1644095465,270508766,GPS_Data,42.337354999999995,-71.09253666666667,65.1,327615.82295951,4689354.044312998,19,T
1644095466.2769294,32,1644095466,269242286,GPS_Data,42.337356666666665,-71.092525,64.0,327616.78865970066,4689354.20573172,19,T
1644095467.2991457,33,1644095467,291443347,GPS_Data,42.337358333333334,-71.09251166666667,63.1,327617.8916664009,4689354.363771754,19,T
1644095468.2765207,34,1644095468,269541978,GPS_Data,42.337358333333334,-71.09250166666668,62.1,327618.7155057578,4689354.343498886,19,T
1644095469.273636,35,1644095469,269083976,GPS_Data,42.337360000000004,-71.09249,63.2,327619.6812058196,4689354.5049180025,19,T
1644095470.2739255,36,1644095470,268692016,GPS_Data,42.33736166666666,-71.092485,63.1,327620.0976796206,4689354.679852336,19,T
1644095471.273198,37,1644095471,268950939,GPS_Data,42.33736333333333,-71.092485,63.4,327620.1022337547,4689354.8649230115,19,T
1644095472.276299,38,1644095472,268889904,GPS_Data,42.33736333333333,-71.09248333333333,63.3,327620.2395403024,4689354.861544236,19,T
1644095473.278385,39,1644095473,270792007,GPS_Data,42.33736833333334,-71.09248,63.6,327620.5278157703,4689355.4099987205,19,T
1644095474.2769487,40,1644095474,269591093,GPS_Data,42.33736833333334,-71.09247833333333,64.1,327620.66512230923,4689355.406619953,19,T
1644095475.2768588,41,1644095475,269714355,GPS_Data,42.33736833333334,-71.09248,64.6,327620.5278157703,4689355.4099987205,19,T
1644095476.276762,42,1644095476,269664764,GPS_Data,42.33736166666666,-71.09248,64.2,327620.50959927664,4689354.669716018,19,T
1644095477.2777922,43,1644095477,270473957,GPS_Data,42.337356666666665,-71.092475,64.1,327620.90785659663,4689354.1043677,19,T
1644095478.27687,44,1644095478,269597291,GPS_Data,42.33735333333334,-71.09246833333333,64.2,327621.4479746551,4689353.720711333,19,T
