Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,easting.data,northing.data,zone_number.data,zone_letter.data
1644092146.2383356,4,1644092146,231083154,GPS_Data,42.33723166666667,-71.09018833333333,6.1,327808.9512637814,4689335.590945599,19,T
1644092147.2364674,5,1644092147,230654478,GPS_Data,42.33723166666667,-71.09018999999999,6.1,327808.8139569636,4689335.594320663,19,T
1644092148.2340188,6,1644092148,226697444,GPS_Data,42.33723166666667,-71.09018999999999,6.1,327808.8139569636,4689335.594320663,19,T
1644092149.240178,7,1644092149,232399940,GPS_Data,42.33723166666667,-71.09018999999999,6.2,327808.8139569636,4689335.594320663,19,T
1644092150.239101,8,1644092150,231723785,GPS_Data,42.33723166666667,-71.09018999999999,6.2,327808.8139569636,4689335.594320663,19,T
1644092151.238882,9,1644092151,231591463,GPS_Data,42.33723166666667,-71.09018999999999,6.2,327808.8139569636,4689335.594320663,19,T
1644092152.2353148,10,1644092152,228015661,GPS_Data,42.33723166666667,-71.09018999999999,6.2,327808.8139569636,4689335.594320663,19,T
1644092153.236108,11,1644092153,228812217,GPS_Data,42.33723166666667,-71.09019166666667,6.2,327808.67665014585,4689335.59769573,19,T
1644092154.2160244,12,1644092154,208351850,GPS_Data,42.33723166666667,-71.09019166666667,6.2,327808.67665014585,4689335.59769573,19,T
1644092155.2197511,13,1644092155,212651729,GPS_Data,42.33723166666667,-71.09019166666667,6.3,327808.67665014585,4689335.59769573,19,T
1644092156.209086,14,1644092156,201669931,GPS_Data,42.33723166666667,-71.09019166666667,6.3,327808.67665014585,4689335.59769573,19,T
1644092157.214052,15,1644092157,206790924,GPS_Data,42.33723333333334,-71.09019166666667,6.3,327808.6811992722,4689335.782766378,19,T
1644092158.21457,16,1644092158,207166910,GPS_Data,42.33723333333334,-71.09019333333335,6.3,327808.5438924602,4689335.786141447,19,T
1644092159.2136014,17,1644092159,206611156,GPS_Data,42.33723333333334,-71.09019333333335,6.3,327808.5438924602,4689335.786141447,19,T
1644092160.2118077,18,1644092160,204616546,GPS_Data,42.33723333333334,-71.09019333333335,6.3,327808.5438924602,4689335.786141447,19,T
1644092161.2068028,19,1644092161,199777841,GPS_Data,42.33723333333334,-71.09019333333335,6.4,327808.5438924602,4689335.786141447,19,T
1644092162.2062755,20,1644092162,198536872,GPS_Data,42.33723333333334,-71.09019333333335,6.4,327808.5438924602,4689335.786141447,19,T
1644092163.198799,21,1644092163,193889379,GPS_Data,42.33723333333334,-71.09019833333333,7.0,327808.13197202183,4689335.796266671,19,T
1644092164.2020288,22,1644092164,194710969,GPS_Data,42.33723,-71.090215,9.4,327806.74980553763,4689335.459876301,19,T
1644092165.2008727,23,1644092165,193873882,GPS_Data,42.33723,-71.09021666666666,10.3,327806.6124987182,4689335.463251408,19,T
1644092166.207851,24,1644092166,200122356,GPS_Data,42.33723,-71.09021666666666,10.3,327806.6124987182,4689335.463251408,19,T
1644092167.2037177,25,1644092167,196378707,GPS_Data,42.33723,-71.09021833333333,10.4,327806.47519189655,4689335.4666265175,19,T
1644092168.2086396,26,1644092168,201239585,GPS_Data,42.33723,-71.09021833333333,10.5,327806.47519189655,4689335.4666265175,19,T
1644092169.2075405,27,1644092169,200194358,GPS_Data,42.33723,-71.09021833333333,10.6,327806.47519189655,4689335.4666265175,19,T
1644092170.2075078,28,1644092170,200097799,GPS_Data,42.33723,-71.09022,10.7,327806.337885077,4689335.4700016305,19,T
1644092171.2091641,29,1644092171,202015399,GPS_Data,42.33723,-71.09022,10.7,327806.337885077,4689335.4700016305,19,T
1644092172.2018254,30,1644092172,194618940,GPS_Data,42.33723,-71.09022,10.8,327806.337885077,4689335.4700016305,19,T
1644092173.2091322,31,1644092173,201548576,GPS_Data,42.33723,-71.09022,10.8,327806.337885077,4689335.4700016305,19,T
1644092174.2105246,32,1644092174,203173637,GPS_Data,42.33723,-71.09022166666666,10.8,327806.2005782575,4689335.473376745,19,T
1644092175.2126987,33,1644092175,203041315,GPS_Data,42.33722833333333,-71.09022166666666,10.9,327806.1960290661,4689335.2883061,19,T
1644092176.2120643,34,1644092176,204731941,GPS_Data,42.33722833333333,-71.09022166666666,10.9,327806.1960290661,4689335.2883061,19,T
1644092177.210431,35,1644092177,203032493,GPS_Data,42.33722833333333,-71.09022166666666,10.9,327806.1960290661,4689335.2883061,19,T
1644092178.2023852,36,1644092178,195430517,GPS_Data,42.33722833333333,-71.09022166666666,11.0,327806.1960290661,4689335.2883061,19,T
1644092179.2042854,37,1644092179,197019815,GPS_Data,42.33722833333333,-71.09022166666666,11.0,327806.1960290661,4689335.2883061,19,T
1644092180.2044234,38,1644092180,196825504,GPS_Data,42.33722833333333,-71.09022166666666,11.0,327806.1960290661,4689335.2883061,19,T
1644092181.2086544,39,1644092181,201706171,GPS_Data,42.33722833333333,-71.09022166666666,11.0,327806.1960290661,4689335.2883061,19,T
1644092182.2090166,40,1644092182,201924800,GPS_Data,42.33722833333333,-71.09022333333334,11.0,327806.05872224085,4689335.291681218,19,T
1644092183.2081044,41,1644092183,201042413,GPS_Data,42.33722833333333,-71.09022333333334,11.0,327806.05872224085,4689335.291681218,19,T
1644092184.210085,42,1644092184,202741861,GPS_Data,42.33722833333333,-71.09022333333334,11.0,327806.05872224085,4689335.291681218,19,T
1644092185.2016485,43,1644092185,194154500,GPS_Data,42.33722833333333,-71.09022333333334,11.1,327806.05872224085,4689335.291681218,19,T
